county_id,county_name,hh_total_2014by_old,at_risk_2014by,hh_at_risk_2014by_upd,hh_total_2014by_upd,hh_at_risk_2018by,hh_total_2018by,per_atrisk_2014by,per_at_risk_2014by_upd,per_at_risk_2018by
33,King,884734,33695,30118,823193,38732,884613,3.8,3.7,4.4
35,Kitsap,109616,3505,3283,98701,8620,101860,3.2,3.3,8.5
53,Pierce,339420,38947,32511,307828,33152,323876,11.5,10.6,10.2
61,Snohomish,304095,35902,33621,277851,32740,294914,11.8,12.1,11.1
0,Region,1637865,112049,99533,1507573,113244,1605263,6.8,6.6,7.1
