control_id,target_id,hct_area_id,county_id,rgs_id,name,hh2020_nonhct,hh2050_nonhct,hh2020_hct,hh2050_hct,hh2020_tot,hh2050_tot,pph2020_nonhct,pph2050_nonhct,pph2020_hct,pph2050_hct,pph2020_tot,pph2050_tot
1,1,1001,33,1,Bellevue,32391,36370,28562,64368,60953,100738,2.71004291315489,2.71888919439098,2.19287864995448,2.28060526969923,2.4677046248749,2.43884135083087
2,2,1002,33,1,Seattle,90308,104262,255319,380900,345627,485162,2.32530894272933,2.32305154322764,1.94698788574293,1.94002625360987,2.04583843276133,2.02233893008933
3,3,1003,33,2,Auburn,19390,27024,7666,13284,27056,40308,2.84522949974214,2.71192273534636,2.75997912861988,2.55924420355315,2.82107480780603,2.66160563659819
4,4,1004,33,2,Bothell,8876,12387,3130,6162,12006,18549,2.4701442091032,2.38685718898846,2.15399361022364,1.98506978253814,2.38772280526403,2.25338293169443
5,5,1005,33,2,Burien,11799,13262,8075,15659,19874,28921,2.63776591236545,2.61106922032876,2.52941176470588,2.30710773357175,2.59374056556305,2.4464921683206
6,6,1006,33,2,Federal Way,24400,25680,11741,23263,36141,48943,2.83495901639344,2.82449376947041,2.61919768333191,2.36538709538753,2.76486538834011,2.6062766892099
7,7,1007,33,2,Issaquah,16069,18239,375,1913,16444,20152,2.40089613541602,2.31070782389385,2.51466666666667,1.81390486147412,2.40349063488202,2.26354704247717
8,8,1008,33,2,Kent,32051,33142,15007,24822,47058,57964,2.90243674144333,2.88621688491944,2.80115945891917,2.45842397872855,2.87013897743211,2.70302256573045
9,9,1009,33,2,Kirkland,20452,26471,17585,26776,38037,53247,2.56874633287698,2.47689924823392,2.18902473699175,2.03895279354646,2.39319609853564,2.25667173737488
10,10,1010,33,2,Redmond,16867,18965,12826,31706,29693,50671,2.61101559257722,2.59667809122067,2.2449711523468,2.148930801741,2.45290135722224,2.31651240354443
11,11,1011,33,2,Renton,26565,28549,14879,32735,41444,61284,2.68737060041408,2.67403411678167,2.34363868539552,2.19587597372843,2.56396583341376,2.41862476339665
12,12,1012,33,2,SeaTac,5233,5849,5860,11400,11093,17249,2.97267341868909,2.94375106855873,2.53378839590444,2.40482456140351,2.74082754890471,2.58757029393008
13,13,1013,33,2,Tukwila,4426,5115,3742,10702,8168,15817,2.62539539087212,2.58690127077224,2.64671298770711,2.44533732012708,2.63516160626836,2.49111715243093
14,14,1014,33,3,Des Moines,9769,10228,2654,6786,12423,17014,2.53342204933975,2.51417676965194,2.78146194423512,2.36825817860301,2.58641229976656,2.45597743035148
15,15,1015,33,3,Federal Way PAA,7554,8508,771,874,8325,9382,3.00569234842468,2.8489656793606,2.84176394293126,2.68649885583524,2.99051051051051,2.83383073971435
16,16,1016,33,3,Kenmore,5710,6484,3560,6327,9270,12811,2.69754816112084,2.6787476866132,2.33286516853933,2.17148727675043,2.55749730312837,2.42822574350168
17,17,1017,33,3,Lake Forest Park,4263,4940,1069,1396,5332,6336,2.58550316678396,2.47226720647773,2.40318054256314,2.21919770773639,2.54894973743436,2.41650883838384
18,18,1018,33,3,Mercer Island,7423,8452,2504,3219,9927,11671,2.77690960528088,2.67617132039754,1.98522364217252,1.83193538365952,2.57721365971593,2.44332105218062
19,19,1019,33,3,Newcastle,3073,4229,2059,2554,5132,6783,2.7751383013342,2.59706786474344,2.16464303059738,2.07674236491778,2.53020265003897,2.40114993365767
20,20,1020,33,3,North Highline,3575,3724,4020,5366,7595,9090,2.72335664335664,2.69226638023631,2.69452736318408,2.48192322027581,2.7080974325214,2.56809680968097
22,22,,33,3,Renton PAA - East Renton,2640,2839,0,0,2640,2839,2.89356060606061,2.74004931313843,0,0,2.89356060606061,2.74004931313843
23,23,,33,3,Renton PAA - Fairwood,8759,9348,0,0,8759,9348,2.73033451307227,2.58600770218229,0,0,2.73033451307227,2.58600770218229
